Type Animal FOV Scan_type Valid BPM Diameter Max_flow Speed_change Area_change Compliance
WT V15 4 X 0 103 80.7894 0 0.293577 0.0641035 0 
WT V15 4 Y 0 102 96.6974 0 0.327761 0.0510258 0 
WT V15 5 ThreeD_rfa 0 111 99 7.76475 0 0 0 
WT V15 6 ThreeD_rfa 0 120 108 15.3408 0 0 0 
WT V15 7 ThreeD_rfa 0 161 124 27.6201 0 0 0 
WT V15 7 X 0 158 0 27.6201 0 0 0 
WT V15 7 Y 0 151 0 27.6201 0 0 0 
WT V16 1 ThreeD_rfa 0 191 141 23.5672 0 0 0 
WT V16 1 X 0 177 124.587 23.5672 0.151916 0.0530941 7.7635 
WT V16 1 Y 0 163 90.3472 23.5672 0.207044 0.027169 0.321191 
WT V16 2 ThreeD_rfa 0 140 57 8.43088 0 0 0 
WT V16 2 Slice 0 167 57.5159 8.43088 0.799796 0.426413 0.67594 
WT V16 2 X 0 194 72.4078 8.43088 0.759066 0.36494 2.00304 
WT V16 2 Y 0 141 53.0102 8.43088 0.577419 0.32779 0.450763 
WT V16 3 ThreeD_rfa 0 284 83 10.5926 0 0 0 
WT V16 3 X 0 147 0 10.5926 0 0 0 
